"plant_id","p_supply","amf_pa","amf_richness","amf_csr","field_measure_date","shoot_g","root_g","root_shoot","tot_flower","flower_d_cm","nectar_mm","nectar_brix","pollen_density","protein_mg_l","hyphae_m_g","prop_col","col_hyp","spore_count"
7,"high","present","2 sp","competitor",2019-08-12,29.51,7.323471074,0.248169131616401,4,NA,NA,NA,NA,NA,0.417973701305347,0.0202020202020202,0.0507257278048966,5
7,"high","present","2 sp","competitor",2019-08-12,29.51,7.323471074,0.248169131616401,NA,NA,NA,NA,NA,NA,0.417973701305347,0.0202020202020202,0.0507257278048966,5
8,"high","present","2 sp","competitor",2019-08-12,28.93,6.910994318,0.238886772139647,3,NA,NA,NA,NA,NA,0.164203954084243,0,0.00608998733055455,3
8,"high","present","2 sp","competitor",2019-08-12,28.93,6.910994318,0.238886772139647,NA,12,380,66,NA,NA,0.164203954084243,0,0.00608998733055455,3
9,"high","present","2 sp","competitor",2019-08-12,33.82,8.213228719,0.242851233560024,3,NA,NA,NA,NA,NA,0.221426544143904,0,0.00451617037996179,14.5
9,"high","present","2 sp","competitor",2019-08-12,33.82,8.213228719,0.242851233560024,NA,10.5,325,42,NA,NA,0.221426544143904,0,0.00451617037996179,14.5
10,"high","present","2 sp","competitor",2019-08-12,32.97,8.256269288,0.250417630815893,4,NA,NA,NA,NA,NA,0.353287295150948,0,0.00283055749166619,8
10,"high","present","2 sp","competitor",2019-08-12,32.97,8.256269288,0.250417630815893,NA,NA,NA,NA,NA,NA,0.353287295150948,0,0.00283055749166619,8
11,"low","present","6 sp","csr",2019-08-12,30.14,7.610967572,0.252520490112807,2,9.6,102,37,121,0.492995176290324,1.16933118817567,0.603448275862069,0.516917945894437,10.5
11,"low","present","6 sp","csr",2019-08-12,30.14,7.610967572,0.252520490112807,NA,NA,NA,NA,NA,NA,1.16933118817567,0.603448275862069,0.516917945894437,10.5
12,"low","present","6 sp","csr",2019-08-12,28.13,8.441557522,0.300090917952364,2,9.4,NA,NA,290,0.643476153955313,0.696622835508911,0.253521126760563,0.365364317370712,0.5
12,"low","present","6 sp","csr",2019-08-12,28.13,8.441557522,0.300090917952364,NA,NA,NA,NA,NA,NA,0.696622835508911,0.253521126760563,0.365364317370712,0.5
13,"low","present","6 sp","csr",2019-08-12,27.24,9.177383178,0.336908339867841,3,10.5,NA,NA,55,0.737851439973908,0.577201777993098,0.569444444444444,0.988292943982001,18.5
13,"low","present","6 sp","csr",2019-08-12,27.24,9.177383178,0.336908339867841,NA,NA,NA,NA,NA,NA,0.577201777993098,0.569444444444444,0.988292943982001,18.5
14,"low","present","6 sp","csr",2019-08-12,26.86,7.617657298,0.283606005137751,2,10.9,128,36.5,55,0.697082173912626,0.90809762485983,0.579710144927536,0.639479863210932,30
14,"low","present","6 sp","csr",2019-08-12,26.86,7.617657298,0.283606005137751,NA,NA,NA,NA,NA,NA,0.90809762485983,0.579710144927536,0.639479863210932,30
15,"low","present","6 sp","csr",2019-08-12,23.17,7.35219228,0.317315160984031,2,8.5,145,40,137,0.616157836080616,1.1817708816669,0.771428571428571,0.653619566543265,3.5
15,"low","present","6 sp","csr",2019-08-12,23.17,7.35219228,0.317315160984031,NA,NA,NA,NA,NA,NA,1.1817708816669,0.771428571428571,0.653619566543265,3.5
16,"high","present","6 sp","csr",2019-08-12,26.08,7.940564306,0.304469490260736,3,NA,NA,NA,NA,NA,0.253769747221103,0.0515463917525773,0.207063262378533,8
16,"high","present","6 sp","csr",2019-08-12,26.08,7.940564306,0.304469490260736,NA,10.6,NA,NA,NA,NA,0.253769747221103,0.0515463917525773,0.207063262378533,8
17,"high","present","6 sp","csr",2019-08-12,34.13306122,9.867164959,0.289079402969529,3,10.5,27,41,220,0.483165784137114,0.524955065329929,0.0326086956521739,0.0640220427838927,10
17,"high","present","6 sp","csr",2019-08-12,34.13306122,9.867164959,0.289079402969529,NA,NA,NA,NA,NA,NA,0.524955065329929,0.0326086956521739,0.0640220427838927,10
18,"high","present","6 sp","csr",2019-08-12,29.65,8.930747,0.0988447650252951,5,10.5,NA,NA,123,0.535231015161844,0.53739475882116,0.0217391304347826,0.042313643855894,4.5
18,"high","present","6 sp","csr",2019-08-12,29.65,8.930747,0.0988447650252951,NA,NA,NA,NA,NA,NA,0.53739475882116,0.0217391304347826,0.042313643855894,4.5
19,"high","present","6 sp","csr",2019-08-12,31.9,7.408387872,0.232237864326019,4,11.1,153,40,182,0.4704469773639,0.442853088287808,0.0947368421052632,0.216181945293434,9
19,"high","present","6 sp","csr",2019-08-12,31.9,7.408387872,0.232237864326019,NA,NA,NA,NA,NA,NA,0.442853088287808,0.0947368421052632,0.216181945293434,9
20,"high","present","6 sp","csr",2019-08-12,30.37,8.797101911,0.289664205169575,4,NA,NA,NA,NA,NA,0.258745624617595,0.0421052631578947,0.166593206055564,20.5
20,"high","present","6 sp","csr",2019-08-12,30.37,8.797101911,0.289664205169575,NA,NA,NA,NA,NA,NA,0.258745624617595,0.0421052631578947,0.166593206055564,20.5
21,"low","absent","0 sp","none",2019-08-12,22.78,7.804580864,0.342606710447761,1,NA,NA,NA,NA,NA,0.0995175479298444,0,0.010048479095415,10.5
21,"low","absent","0 sp","none",2019-08-12,22.78,7.804580864,0.342606710447761,NA,NA,NA,NA,NA,NA,0.0995175479298444,0,0.010048479095415,10.5
22,"low","absent","0 sp","none",2019-08-12,20.96,6.60957606,0.315342369274809,1,NA,NA,NA,NA,NA,0.286112950298303,0,0.0034951231636226,4.5
22,"low","absent","0 sp","none",2019-08-12,20.96,6.60957606,0.315342369274809,NA,NA,NA,NA,NA,NA,0.286112950298303,0,0.0034951231636226,4.5
23,"low","absent","0 sp","none",2019-08-12,21.94,6.13052995,0.279422513673655,0,NA,NA,NA,NA,NA,0.184107463670212,0,0.00543161032184594,4.5
23,"low","absent","0 sp","none",2019-08-12,21.94,6.13052995,0.279422513673655,NA,NA,NA,NA,NA,NA,0.184107463670212,0,0.00543161032184594,4.5
24,"low","absent","0 sp","none",2019-08-12,27.56,8.569786641,0.310950168396226,3,10.5,61,35,82,0.621225229408267,0.26869737941058,0,0.00372165892422777,7
24,"low","absent","0 sp","none",2019-08-12,27.56,8.569786641,0.310950168396226,NA,NA,NA,NA,NA,NA,0.26869737941058,0,0.00372165892422777,7
25,"low","absent","0 sp","none",2019-08-12,23.37,5.954909986,0.254810012237912,2,9.5,62,39.5,367,0.570467672298446,0.233866237635134,0,0.00427594855124042,4
25,"low","absent","0 sp","none",2019-08-12,23.37,5.954909986,0.254810012237912,NA,NA,NA,NA,NA,NA,0.233866237635134,0,0.00427594855124042,4
26,"high","absent","0 sp","none",2019-08-12,31.07,8.558725869,0.275465911457998,4,8,53,37,21,0.556471131782091,0.256257685919349,0,0.00390232197880194,19
26,"high","absent","0 sp","none",2019-08-12,31.07,8.558725869,0.275465911457998,NA,NA,NA,NA,NA,NA,0.256257685919349,0,0.00390232197880194,19
27,"high","absent","0 sp","none",2019-08-12,30.04,8.821985262,0.293674609254328,2,8.9,51,38,23,0.47256094098296,0.116933118817567,0.0105263157894737,0.0985718666022794,10.5
27,"high","absent","0 sp","none",2019-08-12,30.04,8.821985262,0.293674609254328,NA,9.9,267,43,NA,NA,0.116933118817567,0.0105263157894737,0.0985718666022794,10.5
28,"high","absent","0 sp","none",2019-08-12,30.65,5.472978056,0.178563721239804,1,NA,NA,NA,NA,NA,0.169179831480736,0,0.00591087005612644,3.5
28,"high","absent","0 sp","none",2019-08-12,30.65,5.472978056,0.178563721239804,NA,10.6,456,40,NA,NA,0.169179831480736,0,0.00591087005612644,3.5
29,"high","absent","0 sp","none",2019-08-12,26.57,8.056588799,0.303221257019195,6,9,61,32,32,0.533179228560409,0.181619524971966,0,0.00550601594269314,11.5
29,"high","absent","0 sp","none",2019-08-12,26.57,8.056588799,0.303221257019195,NA,NA,NA,NA,NA,NA,0.181619524971966,0,0.00550601594269314,11.5
30,"high","absent","0 sp","none",2019-08-12,27.59,12.121637,0.439348930772019,4,NA,NA,NA,NA,NA,0.310992337280764,0,0.00321551331053279,16.5
30,"high","absent","0 sp","none",2019-08-12,27.59,12.121637,0.439348930772019,NA,NA,NA,NA,NA,NA,0.310992337280764,0,0.00321551331053279,16.5
31,"low","present","2 sp","ruderal",2019-08-12,27.63,8.536058113,0.308941661708288,4,9.5,63,51,31,0.654401889023334,1.80126761753018,0.819672131147541,0.455608107957224,25.7
